Date,Actual,Prophet,LSTM
2018-03-29,39.535972595214844,40.845422948142776,6746.3496
2018-04-02,39.276771545410156,41.73803269320816,6708.9346
2018-04-03,39.67972183227539,41.838695425394796,6672.8784
2018-04-04,40.43849563598633,42.03735138738488,6642.3486
2018-04-05,40.718902587890625,42.08537639230725,6622.717
2018-04-06,39.677364349365234,42.131930685922796,6613.9336
2018-04-09,40.07087326049805,42.675468527160206,6605.82
2018-04-10,40.82493591308594,42.698953891965296,6601.186
2018-04-11,40.63406753540039,42.82104458301146,6604.6304
2018-04-12,41.03466033935547,42.79348052138687,6612.342
2018-04-13,41.173675537109375,42.765651477339,6625.579
2018-04-16,41.4305305480957,43.09381115565224,6643.155
2018-04-17,42.00079345703124,43.047801398217025,6664.857
2018-04-18,41.906517028808594,43.101230015104164,6692.6387
2018-04-19,40.718902587890625,43.005589796704626,6722.8623
2018-04-20,39.05054473876953,42.91001513003069,6744.7915
2018-04-23,38.93745040893555,43.034679203142296,6747.4336
2018-04-24,38.39547348022461,42.920239738712965,6734.969
2018-04-25,38.562774658203125,42.90485774228537,6708.2144
2018-04-26,38.697086334228516,42.74010708750969,6673.616
2018-04-27,38.249366760253906,42.575301524505136,6636.0664
2018-04-30,38.9421501159668,42.494866949529865,6595.0454
2018-05-01,39.84702682495117,42.31452189546113,6558.5117
2018-05-02,41.607269287109375,42.23548269093517,6533.612
2018-05-03,41.682674407958984,42.01004193480104,6531.172
2018-05-04,43.318016052246094,41.78828256344579,6545.8594
2018-05-07,43.63142776489258,41.56745416226902,6584.094
2018-05-08,43.84115219116212,41.35312365204468,6639.942
2018-05-09,44.14983367919922,41.247744171964996,6707.3716
2018-05-10,44.7813606262207,41.00425277136914,6782.1396
2018-05-11,44.61104965209961,40.77328237601612,6863.194
2018-05-14,44.50695800781249,40.58157666457284,6943.732
2018-05-15,44.10245895385742,40.39642029079916,7019.3013
2018-05-16,44.51404571533204,40.32984246721327,7084.7754
2018-05-17,44.23257064819336,40.134478409220264,7142.888
2018-05-18,44.071712493896484,39.9605004042268,7191.0576
2018-05-21,44.38395309448242,39.98611251350377,7228.761
2018-05-22,44.27278137207031,39.885891965969165,7259.5903
2018-05-23,44.55663299560547,39.90874799640501,7283.451
2018-05-24,44.50695800781249,39.806142485470716,7303.4546
2018-05-25,44.608680725097656,39.727025508927554,7319.623
2018-05-29,44.44782257080078,40.02820725649634,7333.21
2018-05-30,44.35319519042969,40.13824632033267,7343.307
2018-05-31,44.204185485839844,40.118050797789586,7349.855
2018-06-01,45.00135803222657,40.11574096417397,7352.5513
2018-06-04,45.37746047973633,40.616975134621825,7358.228
2018-06-05,45.727569580078125,40.657034690064435,7368.706
2018-06-06,45.886043548583984,40.80908856457664,7384.856
2018-06-07,45.7630500793457,40.82385295629532,7405.6147
2018-06-08,45.34671401977539,40.84984075079532,7427.893
2018-06-11,45.23552322387695,41.40234225945632,7447.19
2018-06-12,45.483924865722656,41.45108163829098,7462.5596
2018-06-13,45.110172271728516,41.609272781212134,7476.1577
2018-06-14,45.133819580078125,41.628730799172565,7485.1523
2018-06-15,44.67018127441406,41.65909395349393,7490.571
2018-06-18,44.64653396606446,42.23380550823905,7489.813
2018-06-19,43.9250373840332,42.29633630110108,7484.4595
2018-06-20,44.11666107177735,42.47293726329734,7470.822
2018-06-21,43.870643615722656,42.51606869286987,7453.2134
2018-06-22,43.74290084838867,42.5758428109866,7431.8325
2018-06-25,43.09239196777344,43.275051968530306,7407.833
2018-06-26,43.62699890136719,43.39075111387108,7378.3594
2018-06-27,43.563133239746094,43.62562111064803,7350.1616
2018-06-28,43.88009262084961,43.73137766766855,7323.801
2018-06-29,43.78784942626953,43.8572026889091,7302.3174
2018-07-02,44.27750396728516,44.76346676964728,7284.716
2018-07-03,43.5063591003418,44.946672026010795,7274.2705
2018-07-05,43.85643768310547,45.41127108119012,7263.869
2018-07-06,44.46438217163085,45.59060516854352,7256.3843
2018-07-09,45.081764221191406,46.60714691515699,7255.7163
2018-07-10,45.02737045288086,46.80656012692883,7264.495
2018-07-11,44.44309616088867,47.11023798443913,7279.319
2018-07-12,45.18822479248047,47.267866557282595,7293.5063
2018-07-13,45.259193420410156,47.426879749053114,7311.856
2018-07-16,45.15983963012695,48.30843648403942,7332.8716
2018-07-17,45.287574768066406,48.439987184322774,7354.087
2018-07-18,45.03919982910157,48.66595298566189,7375.3525
2018-07-19,45.38929748535156,48.73735067112144,7393.8438
2018-07-20,45.28520965576172,48.80316693550806,7411.9976
2018-07-23,45.32541275024415,49.3815125645001,7428.3516
2018-07-24,45.654232025146484,49.41078555921783,7442.9663
2018-07-25,46.084754943847656,49.5373504379603,7458.089
2018-07-26,45.940460205078125,49.514299178558716,7476.1025
2018-07-27,45.1764030456543,49.492614749835084,7494.4233
2018-07-30,44.92329406738281,49.86789072458325,7506.585
2018-07-31,45.01318740844726,49.85413570289856,7511.8345
2018-08-01,47.66490554809571,49.95175369326323,7512.4854
2018-08-02,49.058189392089844,49.91440996127625,7529.1724
2018-08-03,49.20011901855469,49.89330714052883,7567.2124
2018-08-06,49.45559310913086,50.356194411403905,7620.27
2018-08-07,48.99195098876953,50.397269172304114,7683.682
2018-08-08,49.02507400512695,50.56013124880191,7748.2383
2018-08-09,49.41065597534179,50.59651109653303,7810.739
2018-08-10,49.26346969604492,50.65539140486529,7871.5864
2018-08-13,49.58156967163086,51.37024487687634,7927.34
2018-08-14,49.79045486450195,51.49005482396758,7979.164
2018-08-15,49.906768798828125,51.7242284132709,8027.3677
